新 唐 电视台	518	0.9972959
公安 近期 非法 绑架 数千位 善良 民众	411	0.99829274
报复 社会	303	0.9981559
中国 禁 闻	294	0.99801874
江 派	222	0.9973356
活 摘 器官	174	0.99804556
暴力 执法	166	0.99789524
天安门 事件	157	0.9981153
评 共产党	155	0.9963877
六四 事件	149	0.99825245
转 法轮	141	0.9980171
法轮功 学员	140	0.99822766
公安 迫害 死 209位 善良 民众	120	0.9981858
中共 政权	120	0.9976782
法轮 大法	119	0.9980179
颜色 革命	100	0.99578696
官商 勾结	99	0.99729013
台独 分子	98	0.99766076
政府 官员	95	0.9770865
江 系	93	0.9933891
新 唐 电视台 新闻 资讯 大陆 政	82	0.9982419
习呆呆 女仆	79	0.9977779
中共 当局	78	0.99805164
世 达赖喇嘛	76	0.99818486
政 fu	75	0.996797
党 政府	74	0.91823816
毛泽东 时代	73	0.9978294
腐败 官员	71	0.99770087
习呆呆 兔 女郎	70	0.9980647
大法 弟子	68	0.9971841
异 见 人士	67	0.9979261
江氏 集团	64	0.9981669
平反 六四	61	0.99822503
纪元 记者	61	0.9974498
中国 贪官	60	0.9978543
落马 官员	59	0.98542166
迫害 法轮功	58	0.9982704
台独 份子	58	0.9978446
法轮功 人员	58	0.9982002
政 改	57	0.98290294
红色 恐怖	56	0.99240184
习呆呆 水手 服	56	0.99808747
官员 腐败	55	0.9977609
共产党 政权	54	0.99767286
政府 工作 报告 	54	0.98937744
习近平 同志 核心 党中央	53	0.99441916
江 信江 疑	53	0.998184
公安 系统	52	0.97294
中共 太子 党	52	0.99792224
法轮 大法 各地 讲法	49	0.99825865
反 华	49	0.9958072
习呆呆 初 音	49	0.9981963
习近平 上台	49	0.9980798
北京 当局	48	0.9979102
高丽 棒子	48	0.95658845
搞 台独	47	0.997357
供 述	46	0.9658135
中国 官员	46	0.9756826
外逃 贪官	45	0.9973941
深入 学习 贯彻 习近平 新 时代 中国特色 社会主义 思想	44	0.9982608
法轮功 人员 动态 变化 情况 报表	44	0.9983316
轮 功	43	0.9976363
文革 时期	42	0.9972838
非法 集资	42	0.9920987
贪官 情妇	42	0.99768674
八九 民运	41	0.99814665
十四 世 达赖喇嘛	40	0.99823475
公 投	40	0.9384176
中共 官场	40	0.9979226
习呆呆 vip 写真	40	0.9982368
习呆呆 岛 风	39	0.9981198
习近平 总书记 指出	39	0.9585146
台独 势力	39	0.9978678
六四 天安门 事件	39	0.9983015
公安 知法犯法	39	0.99741685
胡锦涛 文选	38	0.9971789
官 贪	38	0.9973429
纪元 评论	38	0.9979081
周永康 案	36	0.99058
